품번,품명,유형,사내거래처,매입가(JS제외),매입가출처,견적재료비,비고
MJU64427102,"Tube,Connector",사급부품,가공반(사내);제이에스,6966,가공반(사내),6520,
MJU64427105,"Tube,Connector",사급부품,가공반(사내);제이에스,8361,가공반(사내),8211,
MJU64427202,"Tube,Connector",사급부품,가공반(사내);제이에스,2548,가공반(사내),2612,
MJU64427204,"Tube,Connector",사급부품,가공반(사내);제이에스,3097,가공반(사내),2946,
MJU64671101,"Tube,Connector",동관,제이에스,286,제이에스,1197,JS만(가격신뢰X)
MJU64671102,"Tube,Connector",동관,제이에스,311,제이에스,632,JS만(가격신뢰X)
MJU64671113,"Tube,Connector",동관,제이에스,377,제이에스,180,JS만(가격신뢰X)
MJU64671114,"Tube,Connector",동관,제이에스,416,제이에스,221,JS만(가격신뢰X)
MJU64687501,Tube Connector,동관,가공반(사내);제이에스,466,가공반(사내),996,
MJU64706601,"Tube,Connector",동관,가공반(사내);제이에스,178,가공반(사내),179,
MJU64708602,"Tube,Connector",동관,가공반(사내);제이에스,443,가공반(사내),353,
MJU64727102,"Tube,Connector",동관,제이에스,658,제이에스,375,JS만(가격신뢰X)
MJU64727202,"Tube,Connector",동관,제이에스,716,제이에스,427,JS만(가격신뢰X)
MJU64930102,"Tube,Connector",동관,가공반(사내);제이에스,4379,가공반(사내),4379,
MJU64971501,"Tube,Connector",사급부품,가공반(사내);제이에스,9801,가공반(사내),9801,
MJU64971504,"Tube,Connector",사급부품,가공반(사내);제이에스,10221,가공반(사내),9846,
MJU64975501,"Tube,Connector",동관,가공반(사내);제이에스,1088,가공반(사내),1088,
MJU64975502,"Tube,Connector",동관,가공반(사내);제이에스,2421,가공반(사내),2421,
MJU64975503,"Tube,Connector",동관,가공반(사내);제이에스,2653,가공반(사내),2653,
MJU64975504,"Tube,Connector",동관,가공반(사내);제이에스,1265,가공반(사내),1265,
MJU64975506,"Tube,Connector",동관,가공반(사내);제이에스,2310,가공반(사내),2310,
MJU64988301,"TUBE, CONNECTOR",동관,가공반(사내);제이에스,1658,가공반(사내),1302,
MJU64988501,"Tube,Connector",사급부품,가공반(사내);제이에스,650,가공반(사내),1530,
MJU64988601,"Tube,Connector",사급부품,가공반(사내);제이에스,1999,가공반(사내),2400,
MJU65026401,"Tube,Connector",사급부품,가공반(사내);제이에스,521,가공반(사내),1133,
MJU65026701,"Tube,Connector",동관,가공반(사내);제이에스,2747,가공반(사내),2747,
MJU65026801,"Tube,Connector",동관,가공반(사내);제이에스,1639,가공반(사내),1639,
MJU65026901,"Tube,Connector",동관,가공반(사내);제이에스,3215,가공반(사내),3215,
MJU65026902,"Tube,Connector",동관,가공반(사내);제이에스,2926,가공반(사내),2926,
MJU65027001,"Tube,Connector",동관,가공반(사내);제이에스,1406,가공반(사내),1461,
MJU65027002,"Tube,Connector",동관,가공반(사내);제이에스,1592,가공반(사내),1592,
MJU65033004,"Tube,Connector",동관,제이에스,162,제이에스,80,JS만(가격신뢰X)
MJU65033014,"Tube,Connector",동관,제이에스,347,제이에스,208,JS만(가격신뢰X)
MJU65033015,"Tube,Connector",동관,제이에스,288,제이에스,128,JS만(가격신뢰X)
MJU65033016,"Tube,Connector",동관,제이에스,312,제이에스,152,JS만(가격신뢰X)
MJU65512601,"Tube,Manifold",사급부품,가공반(사내);제이에스,6926,가공반(사내),7902,
MJU65626509,"Tube,Connector",동관,가공반(사내);제이에스,316,가공반(사내),256,
MJU65666836,"TUBE, CONNECTOR",사급부품,가공반(사내);제이에스,1965,가공반(사내),1904,
MJU65666836+39-1,"TUBE, CONNECTOR",사급부품,가공반(사내);제이에스,3352,가공반(사내),3352,
MJU65666839,"TUBE, CONNECTOR",사급부품,제이에스,1766,제이에스,1545,JS만(가격신뢰X)
MJU65789103,"Tube,Connector",사급부품,제이에스,4681,제이에스,4714,JS만(가격신뢰X)
MJU65789104,"Tube,Manifold",사급부품,제이에스,1310,제이에스,1297,JS만(가격신뢰X)
MJU65789107,Tube Connector,동관,제이에스,4119,제이에스,8810,JS만(가격신뢰X)
MJU65789108,Tube Connector,동관,가공반(사내);제이에스,1693,가공반(사내),3835,
MJU65846201,"Tube,Manifold",사급부품,가공반(사내);제이에스,1173,가공반(사내),1173,
MJU65868002,"Tube,Connector",사급부품,가공반(사내);제이에스,479,가공반(사내),768,
MJU65868003,"Tube,Connector",사급부품,가공반(사내);제이에스,820,가공반(사내),1197,
MJU65868007,"Tube,Connector",동관,가공반(사내);제이에스,608,가공반(사내),491,
MJU65868008,"Tube,Connector",동관,가공반(사내);제이에스,619,가공반(사내),483,
MJU65868009,"Tube,Connector",동관,가공반(사내);제이에스,417,가공반(사내),301,
MJU66166603,"Tube,Connector",동관,제이에스,4332,제이에스,3927,JS만(가격신뢰X)
MJU66166606,"Tube,Connector",동관,제이에스,2480,제이에스,2052,JS만(가격신뢰X)
MJU66166607,"Tube,Connector",동관,제이에스,2436,제이에스,2052,JS만(가격신뢰X)
