협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
미래정밀,AJR77171201-4-7,"Tube,Connector",일반CU,0.0464,작년(7.5k),356,949,593,390,383,1129,1722,593,1765
미래정밀,AJR77263009-4-1,Tube Connector,고강도CU,0.066,올해(20k),291,854,563,87,413,791,1354,563,2047
미래정밀,AJR30133703-4-2,Tube Connector,고강도CU,0.0338,올해(20k),254,744,490,67,296,617,1107,490,1200
미래정밀,AJR30077403-4-2,미래 SUB,일반CU,0.0223,작년(7.5k),289,771,482,0,221,510,992,482,1076
미래정밀,AJR30133702-4-2,Tube Connector,고강도CU,0.0327,올해(20k),245,720,475,56,260,561,1036,475,1140
미래정밀,AJR30089608-4-1,미래 Sub,일반CU,0.0136,작년(7.5k),272,725,453,0,0,272,725,453,1007
미래정밀,AJR74803553-4-1,Tube Connector,일반CU,0.0361,올해(20k),271,722,451,91,330,692,1143,451,1300
미래정밀,AJR30089603-4-1,Tube Connector,일반CU,0.0844,올해(20k),240,639,399,405,399,1044,1443,399,1541
미래정밀,MJU66502904+용접링,"Tube,Connector",고강도CU,0.0457,올해(20k),202,592,390,20,206,428,818,390,1364
미래정밀,AJR74803552-4-2,Tube Connector,일반CU,0.0309,올해(20k),232,618,386,91,322,645,1031,386,1200
미래정밀,AJR30089612-4-1,미래 SUB,고강도CU,0.0151,작년(7.5k),196,575,379,0,305,501,880,379,1025
미래정밀,AJR74364911-4-1,"Tube,Connector",일반CU,0.0295,작년(7.5k),223,595,372,405,200,828,1200,372,1274
미래정밀,AJR77263009-4-2,Tube Connector,고강도CU,0.0427,올해(20k),189,553,364,76,365,630,994,364,1456
미래정밀,AJR74364911-4-4,"Tube,Connector",일반CU,0.0285,작년(7.5k),216,576,360,405,199,820,1180,360,1261
미래정밀,AJR30089609-4-1,미래 SUB,고강도CU,0.0136,작년(7.5k),176,516,340,0,278,454,794,340,1007
미래정밀,AJR74803552-4-1,Tube Connector,일반CU,0.0264,올해(20k),198,529,331,1153,408,1759,2090,331,2300
미래정밀,AJR68019502-4-2,"Tube,Connector",일반CU,0.0261,작년(7.5k),198,528,330,538,210,946,1276,330,1618
미래정밀,AJR30089602-4-1,Tube Connector,일반CU,0.0688,올해(20k),195,521,326,405,378,978,1304,326,1392
