구분,P/N,협력사,엑셀중량,기하중량/비교,외경,두께,길이,배수/비고
②시트간스펙충돌,5210A23655A,MTS,,,,,,MTS:Φ25.4 T1.2 L440.0 | MTS:Φ25.4 T1.2 L445.0
②시트간스펙충돌,5210A23655B,MTS,,,,,,MTS:Φ25.4 T1.2 L440.0 | MTS:Φ25.4 T1.2 L317.0
②시트간스펙충돌,5210A25401B,MTS,,,,,,MTS:Φ19.05 T0.95 L620.0 | MTS:Φ19.05 T0.95 L630.0
②시트간스펙충돌,5210A24673B,MTS,,,,,,MTS:Φ19.05 T0.95 L383.0 | MTS:Φ19.05 T0.95 L353.0 | MTS:Φ12.7 T0.75 L68.0
②시트간스펙충돌,MJU42403117,MTS,,,,,,MTS:Φ15.88 T0.95 L51.0 | MTS:Φ15.88 T0.95 L53.0
②시트간스펙충돌,5210A23584A,MTS,,,,,,MTS:Φ12.7 T0.75 L562.0 | MTS:Φ12.7 T0.75 L558.0
②시트간스펙충돌,5210A23581A,MTS,,,,,,MTS:Φ15.88 T0.95 L244.0 | MTS:Φ15.88 T0.95 L360.0
②시트간스펙충돌,MJU62916401,MTS,,,,,,MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L329.0 | MTS:Φ12.7 T0.75 L328.0
②시트간스펙충돌,MJU61865213,MTS,,,,,,MTS:Φ12.7 T0.75 L677.0 | MTS:Φ12.7 T0.75 L652.0
②시트간스펙충돌,MJU61865215,MTS,,,,,,MTS:Φ12.7 T0.75 L590.0 | MTS:Φ12.7 T0.75 L590.0 | MTS:Φ12.7 T0.75 L571.0 | MTS:Φ12.7 T0.75 L590.0 | MTS:Φ12.7 T0.75 L592.0
