품번,견적유형(Assy/하위),최근생산월,생산건수
AJR75604801-SUB,,,
AJR75623501,,,
AJR75623701,,,
AJR75623703,,,
AJR75645201,,,
AJR75645201-SUB,,,
AJR75645701,Assy,,
AJR75645801,,,
AJR75662310,,,
AJR75662348,,,
AJR75702801,,,
AJR75702801-SUB,,,
AJR75704003,,,
AJR75705901,,,
AJR75709904,,,
AJR75710506,,,
AJR75711901,,,
AJR75711901-SUB,,,
AJR75712801,,,
AJR75713001,,,
AJR75713101,,,
AJR75713102,,,
AJR75713301,,,
AJR75713301-SUB,,,
AJR75725401,,,
AJR75725402,,,
AJR75726505,,,
AJR75744401,,,
AJR75744401-SUB,,,
AJR75744535,,,
AJR75744535-SUB,,,
AJR75747504,,,
AJR75747504-고압,,,
AJR75747504-저압,,,
AJR75763701,,,
AJR75763801,Assy,,
AJR75782901,Assy,,
AJR75786301,,,
AJR75786301-고주파,,,
AJR75786301-은납,,,
AJR75786302,,,
AJR75786302-고주파,,,
AJR75786302-은납,,,
