code,kind,phi,thick,length,copper_unit_kg,nparts
MJU37361130,부품,6.35,0.65,117.0,0.012177,
MJU37361311,부품,9.52,0.65,354.0,0.057331,
MJU37361316,부품,9.52,0.65,167.0,0.027046,
MJU37361317,부품,9.52,0.65,155.0,0.025103,
MJU37361320,부품,9.52,0.65,135.0,0.021864,
MJU37361321,부품,9.52,0.65,326.0,0.052797,
MJU37361324,부품,6.35,0.65,112.0,0.011656,
MJU37361325,부품,6.35,0.65,202.0,0.021023,
MJU37361326,부품,9.52,0.65,1149.0,0.186084,
MJU37361330,부품,9.52,0.65,1132.0,0.183331,
MJU37370101,부품,15.88,0.95,144.0,0.057372,
MJU37499501,부품,7.0,0.65,92.0,0.010667,
MJU37499607,부품,9.52,0.65,208.0,0.033686,
MJU37499706,부품,15.88,0.95,505.0,0.201199,
MJU37499711,부품,15.88,0.95,505.0,0.201199,
MJU37646302,부품,15.88,0.95,272.0,0.108369,
MJU38232201,부품,6.35,0.7,122.0,0.013554,
MJU38274201,부품,7.0,0.65,94.0,0.010898,
MJU38274202,부품,7.0,0.65,98.0,0.011362,
MJU38274203,부품,7.0,0.65,98.0,0.011362,
MJU38274204,부품,7.0,0.65,98.0,0.011362,
MJU38359301,부품,15.88,0.95,784.0,0.312357,
MJU38888706,부품,9.52,0.65,180.0,0.029152,
MJU38890617,부품,15.88,0.95,938.0,0.373713,
MJU39704601,부품,6.35,0.95,144.0,0.020751,
MJU39869701,부품,15.88,0.95,871.0,0.347019,
MJU39869801,부품,12.7,0.75,125.0,0.03147,
MJU40224207,부품,15.88,0.95,402.0,0.160163,
MJU40224209,부품,15.88,0.95,575.0,0.229088,
