업체시트,Assy,원소재,사급부품,용접봉,가공비,동소요kg,판가,기존가확정,참조,부품수,flags
대원산업 (3),AJR30027704-12-2,0,6951,0,0,0.0,6951,0,,2,
대원산업 (3),AJR30027704-12-3,0,5425,50,644,0.0,6118,0,,3,
대원산업 (3),AJR30027705,2158,8291,146,1924,0.2859,12518,0,,6,
대원산업 (3),AJR30027705-12-1,904,994,0,131,0.1198,2029,0,,2,
대원산업 (3),AJR30027706,311,20592,310,2747,0.0405,23958,0,,9,
대원산업 (3),AJR30027706-12-1,1619,0,0,402,0.2144,2020,0,,1,
대원산업 (3),AJR30027707-12-1,0,22740,325,3827,0.0,26892,0,,9,
대원산업 (3),AJR30027708,0,20113,454,3254,0.0,23820,0,,10,
대원산업 (3),AJR30027708-12-1,0,6988,0,0,0.0,6988,0,,2,
대원산업 (3),AJR30029801,823,0,0,389,0.1068,1211,0,,4,
